date,pounds
2021-07-18,100000
2021-07-27,100000
2021-08-16,100000
2021-08-17,200000
2021-08-18,200000
2021-08-19,400000
2021-08-22,400000
2021-08-23,100000
2021-08-24,100000
2021-08-25,100000
2021-08-26,500000
2021-08-30,200000
2021-08-31,400000
2021-09-01,800000
2021-09-02,1429554
2021-09-06,850000
2021-09-07,200000
2021-09-08,200000
2021-09-09,440170
2021-09-13,1250000
2021-09-14,100000
2021-09-15,1450000
2021-09-16,600000
2021-09-20,100000
2021-09-21,200000
2021-09-26,500000
2021-09-29,100000
2021-10-03,400000
2021-10-04,100000
2021-10-05,100000
2021-10-06,400000
2021-10-07,400000
2021-10-11,400000
2021-10-12,1150000
2021-10-13,300000
2021-10-14,200000
2021-10-17,1150000
2021-10-18,200000
2021-10-19,200000
2021-10-20,200000
2021-10-24,300000
2021-10-25,300000
2021-10-28,200000
2021-11-02,700000
2021-11-04,500000
2021-11-08,1200000
2021-11-09,150000
2021-11-11,582573
2021-11-14,950000
2021-11-16,300000
2021-11-18,200000
2021-11-22,983752
2021-11-28,100000
2021-11-29,100000
2021-11-30,100000
2021-12-07,100000
2021-12-14,100000
2022-01-04,400000
2022-01-06,1000000
2022-01-09,350000
2022-01-10,400000
2022-01-12,450000
2022-01-19,100000
2022-01-31,100000
2022-02-03,200000
2022-02-07,100000
2022-02-08,500000
2022-02-09,100000
2022-02-10,300000
2022-02-13,400000
2022-02-15,200000
2022-02-22,100000
2022-02-23,100000
2022-02-24,1410365
2022-02-27,600000
2022-02-28,700000
2022-03-01,500000
2022-03-02,300000
2022-03-03,408928
2022-03-06,100000
2022-03-07,200000
2022-03-08,100000
2022-03-09,1200000
2022-03-10,100000
2022-03-13,100000
2022-03-14,100000
2022-03-17,200000
2022-03-20,100000
2022-03-22,569000
2022-03-23,100000
2022-03-24,100000
2022-03-27,100000
2022-03-29,300000
2022-03-30,100000
2022-03-31,100000
2022-04-03,100000
2022-04-04,300000
2022-04-05,300000
2022-04-06,400000
2022-04-10,150000
2022-04-12,100000
2022-04-19,100000
2022-04-20,300000
2022-04-21,100000
2022-04-27,100000
2022-05-16,100000
