date,price
2021-06-06,32.35
2021-06-07,32.2
2021-06-08,32.3
2021-06-09,32.35
2021-06-10,32.7
2021-06-13,32.5
2021-06-14,32.35
2021-06-15,32.35
2021-06-16,32.4
2021-06-17,32.4
2021-06-20,32.6
2021-06-21,32.55
2021-06-22,32.55
2021-06-23,32.6
2021-06-24,32.4
2021-06-27,32.25
2021-06-28,32.35
2021-06-29,32.4
2021-06-30,32.5
2021-07-01,32.7
2021-07-04,32.7
2021-07-05,32.7
2021-07-06,32.6
2021-07-07,32.6
2021-07-08,32.55
2021-07-11,32.5
2021-07-12,32.5
2021-07-13,32.5
2021-07-14,32.5
2021-07-15,32.4
2021-07-18,32.3
2021-07-19,32.35
2021-07-20,32.5
2021-07-21,32.5
2021-07-22,32.45
2021-07-25,32.45
2021-07-26,32.4
2021-07-27,32.4
2021-07-28,32.4
2021-07-29,32.3
2021-08-01,32.3
2021-08-02,32.25
2021-08-03,32.25
2021-08-04,32.1
2021-08-05,31.95
2021-08-08,31.7
2021-08-09,31.7
2021-08-10,31.45
2021-08-11,30.95
2021-08-12,30.45
2021-08-15,30.3
2021-08-16,30.75
2021-08-17,31.5
2021-08-18,32.5
2021-08-19,33
2021-08-22,33.25
2021-08-23,33.45
2021-08-24,33.4
2021-08-25,33.55
2021-08-26,33.75
2021-08-29,33.8
2021-08-30,34.6
2021-08-31,35.65
2021-09-01,37.2
2021-09-02,38.7
2021-09-05,38.7
2021-09-06,40.05
2021-09-07,40.25
2021-09-08,40.4
2021-09-09,42.4
2021-09-12,44.15
2021-09-13,44.9
2021-09-14,48.55
2021-09-15,49.65
2021-09-16,50.8
2021-09-19,49.9
2021-09-20,49.75
2021-09-21,49.4
2021-09-22,48.05
2021-09-23,44.3
2021-09-26,43.05
2021-09-27,45.25
2021-09-28,44.55
2021-09-29,43.95
2021-09-30,43.55
2021-10-03,42.55
2021-10-04,41.65
2021-10-05,40.45
2021-10-06,39.5
2021-10-07,38.5
2021-10-10,38.8
2021-10-11,39.7
2021-10-12,48.3
2021-10-13,47.5
2021-10-14,47.2
2021-10-17,48.1
2021-10-18,48.85
2021-10-19,48.85
2021-10-20,48.85
2021-10-21,49
2021-10-24,48.85
2021-10-25,48.5
2021-10-26,48.9
2021-10-27,47.75
2021-10-28,46.1
2021-10-31,43.8
2021-11-01,43.2
2021-11-02,42.7
2021-11-03,43.8
2021-11-04,45.05
2021-11-07,45.6
2021-11-08,45.8
2021-11-09,46.4
2021-11-10,46.8
2021-11-11,47.4
2021-11-14,48.15
2021-11-15,48.1
2021-11-16,48.05
2021-11-17,48.1
2021-11-18,47.6
2021-11-21,47.15
2021-11-22,48.05
2021-11-23,48.05
2021-11-24,48.05
2021-11-25,47.4
2021-11-28,47.25
2021-11-29,47.15
2021-11-30,46.6
2021-12-01,46.35
2021-12-02,46.35
2021-12-05,46.05
2021-12-06,45.85
2021-12-07,45.85
2021-12-08,45.85
2021-12-09,45.65
2021-12-12,44.95
2021-12-13,44.25
2021-12-14,44.05
2021-12-15,44.15
2021-12-16,44.1
2021-12-19,44.1
2021-12-20,43.95
2021-12-21,43.95
2021-12-22,43.95
2021-12-23,43.95
2021-12-26,43.7
2021-12-27,43.7
2021-12-28,43.7
2021-12-29,43.7
2021-12-30,43.65
2022-01-02,43.65
2022-01-03,43.7
2022-01-04,45.4
2022-01-05,47
2022-01-06,46.35
2022-01-09,46.5
2022-01-10,46.5
2022-01-11,46.5
2022-01-12,46.5
2022-01-13,46.5
2022-01-16,46.5
2022-01-17,46.45
2022-01-18,46.3
2022-01-19,46
2022-01-20,45.4
2022-01-23,45.05
2022-01-24,45.05
2022-01-25,45.05
2022-01-26,45.05
2022-01-27,44.85
2022-01-30,44
2022-01-31,43.9
2022-02-01,43.8
2022-02-02,44
2022-02-03,43.95
2022-02-06,43.9
2022-02-07,43.55
